vault_address,nav_start,nav_end,annualized_return,sharpe,mdd,win_rate,freq,metrics_mode,balance,time_in_market,avg_hold_days,trader_age_hours
0x3005fade4c0df5e1cd187d7062da359416f0eb8e,188.8773439999999,1210069.1608150047,503.84,0.8,-2.95,0.4,D,full,1210069.1608150047,1.0,513.9166666666666,12335.144723359166
0x61b1cf5c2d7c4bf6d5db14f36651b2242e7cba0a,65952.29768100001,590138.1482909985,3226.61,2.96,-0.17,0.66,D,full,590138.1482909985,0.99,49.5,2379.565588926111
0x73ce82fb75868af2a687e9889fcf058dd1cf8ce9,98094.61592700024,494900.66208299453,25.15,2.55,-0.73,0.48,D,full,494900.66208299453,1.0,181.58333333333337,4359.355821145833
0xac26cf5f3c46b5e102048c65b977d2551b72a9c7,152734.12364400012,-29150.99888101092,-0.88,-1.89,-1.03,0.51,D,full,-29150.99888101092,1.0,286.7083333333333,6882.133914635556
0x32af4c34c603cb9e1480aa79d0369a46e07cfa5c,100194.224431,605475.9306440119,20.5,2.25,-0.53,0.51,D,full,605475.9306440119,1.0,195.66666666666663,5151.313776345
0x9b5b1931fa5838a891973f9877c7648c93ee80cc,150.0,508068.544134996,13889.82,1.19,-0.8,0.41,D,full,508068.544134996,1.0,110.33333333333331,7486.162573740277
0x565ab99e1515c6dd3b8852b15354638d467f999a,64126.74218299994,981937.313180998,108.72,2.04,-0.13,0.52,D,full,981937.313180998,0.61,9.704545454545457,5110.6325401375
0x013fca0778c47bf2f32b53529a9f31fa1506960d,100898.0,463078.4720460002,20573.8,3.93,-0.1,0.62,D,full,463078.4720460002,1.0,51.5,1352.2065415555555
0xbc5bf88fd012612ba92c5bd96e183955801b7fdc,853549.8624880001,659807.2212229967,-0.32,2.07,-1.43,0.5,D,full,659807.2212229967,1.0,240.16666666666663,5765.220462967778
0x5661a070eb13c7c55ac3210b2447d4bea426cbf5,242512.96101199996,411141.8943080006,2.61,1.67,-0.26,0.47,D,full,411141.8943080006,0.99,36.583333333333336,3620.6311001758336
0x82eba5dc675279cb5967952f0c4b5184505eb17c,2328.156753999999,350837.9470539966,15.86,-0.62,-2.14,0.67,D,full,350837.9470539966,1.0,648.6666666666666,15568.561105799166
0x253b88ebaa7c321d4803c0cfaf708684e3de32be,361.0,585526.3589310047,4821434223.52,1.74,-0.4,0.44,D,full,585526.3589310047,0.81,114.16666666666669,2905.4330222597223
0x21edf2d791f626ee69352120e7f6e2fbb0f48cf1,289158.1256289997,296931.4827210009,2.35,5.29,-0.01,0.5,D,full,296931.4827210009,1.0,8.208333333333334,199.4122446894445
